isin	wkn	name	fundProvider	legalStructure	quote	quote52Low	quote52High	ytdReturnCUR	totalExpenseRatio	fiveYearVolatilityCUR	fiveYearReturnPerRiskCUR	yearVolatilityCUR	distributionPolicy	fundCurrency	yearDividendYield	threeMonthReturnCUR	monthReturnCUR	sixMonthReturnCUR	inceptionDate	threeYearVolatilityCUR	yearReturnPerRiskCUR	yearReturn2CUR	yearReturn4CUR	replicationMethod	hasSecuritiesLending	ticker	yearReturnCUR	threeYearReturnPerRiskCUR	domicileCountry	threeYearReturnCUR	valorNumber	currentDividendYield	yearReturn3CUR	fiveYearReturnCUR	weekReturnCUR	yearReturn1CUR	quoteMarket	quoteDate	labels	replicationStrategy	fundStructure	distributionFrequency	currencyRisk	fiscalYearEnd	UCITSCompliance	revisionCompany	indexType	securitiesLending	top10Holdings	exposureCountry_Netherlands	exposureCountry_United Kingdom	exposureCountry_Luxembourg	exposureCountry_Other	exposureSector_Technology	exposureSector_Consumer Staples	exposureSector_Industrials	exposureSector_Consumer Discretionary	exposureSector_Other	fundSizeMillions	exposureCountry_Belgium	exposureCountry_France	exposureSector_Financials	exposureSector_Basic Materials	exposureSector_Real Estate	exposureCountry_Austria	exposureSector_Utilities	exposureSector_Energy	exposureCountry_Serbia	exposureCountry_Romania	exposureSector_Health Care	exposureCountry_China	exposureCountry_Mexico	exposureCountry_Indonesia	exposureCountry_Saudi Arabia	exposureCountry_United Arab Emirates	exposureCountry_Malaysia	exposureCountry_South Korea	exposureCountry_Brazil	exposureCountry_Israel	exposureCountry_South Africa	exposureCountry_Qatar	exposureCountry_Uruguay	exposureCountry_Dominican Republic	exposureCountry_Italy	exposureCountry_Germany	exposureCountry_Spain	exposureCountry_United States	exposureSector_Telecommunication	exposureCountry_Japan	exposureCountry_Canada	exposureCountry_Australia	exposureCountry_Ireland	exposureCountry_Cayman Islands	exposureCountry_Hong Kong	exposureCountry_Bermuda	exposureCountry_Liberia	exposureCountry_Hungary	exposureCountry_Switzerland	exposureCountry_Singapore	exposureCountry_Taiwan	exposureCountry_Croatia	exposureCountry_New Zealand	exposureCountry_India	exposureCountry_Norway	exposureCountry_Finland	exposureCountry_Denmark	exposureCountry_Sweden	exposureCountry_country-gg	exposureCountry_Jersey	exposureCountry_Greece	exposureCountry_Chile	exposureCountry_Oman	exposureCountry_Philippines	exposureCountry_Ivory Coast	exposureCountry_Portugal	exposureCountry_Turkey	exposureCountry_Thailand	exposureCountry_Poland	exposureCountry_Argentina	exposureCountry_Macedonia	exposureCountry_Peru	exposureCountry_Russia	exposureCountry_Cyprus	exposureCountry_Colombia	exposureCountry_Czech Republic	exposureCountry_Slovakia	exposureCountry_Slovenia	exposureCountry_Bulgaria
DE000A0D8Q23	A0D8Q2	iShares ATX UCITS ETF (DE)	iShares	ETF	34.38	28.27	37.96	0.006	0.0032	0.2341	0.03	0.2187	Distributing	EUR	0.0252	0.0272	-0.0988	0.0946	8/4/05	0.2469	-0.16	0.4212	0.1993	Full replication	No	EXXX	-0.034	0.87	Germany	0.7922	2281271	0.0268	-0.113	0.0329	-0.0479	-0.1645	XETRA	3/21/23	'ATX®', 'Equity', 'Austria'	Physical(Full replication)	Contractual Fund	At least annually	Currency unhedged	30-Apr	Yes	Deloitte	Price index	No	'ERSTE GRP. BANK AG', 'OMV AG', 'VERBUND AG', 'BAWAG GRP. AG', 'ANDRITZ AG', 'VOESTALPINE AG', 'WIENERBERGER AG', 'RAIFFEISEN BANK INTL. AG', 'MAYR-MELNHOF KARTON AG', 'CA-IMMOBILIEN-ANLAGEN AG'	0	0	0	0.0219	0	0	0	0	0.2058	90	0	0	0.32	0.1573	0	0.9781	0.17	0.1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LU0659579063	DBX0KJ	Xtrackers ATX UCITS ETF 1C	Xtrackers	ETF	58.14	47.73	64.14	0.0071	0.0025	0.2347	0.03	0.2191	Accumulating	EUR		0.0285	-0.0985	0.096	11/11/11	0.2472	-0.15	0.4239	0.1991	Full replication	Yes	XB4A	-0.0331	0.88	Luxembourg	0.8032	14207122		-0.1085	0.0315	-0.0482	-0.1657	XETRA	3/21/23	'ATX®', 'Equity', 'Austria'	Physical(Full replication)	Company With Variable Capital (SICAV)		Currency unhedged	31-Dec	Yes	Ernst & Young S.A.	Total return index	Yes	'ERSTE GRP. BANK AG', 'OMV AG', 'VERBUND AG', 'BAWAG GRP. AG', 'ANDRITZ AG', 'VOESTALPINE AG', 'WIENERBERGER AG', 'RAIFFEISEN BANK INTL. AG', 'MAYR-MELNHOF KARTON AG', 'CA-IMMOBILIEN-ANLAGEN AG'	0	0	0	0	0	0	0	0	0.1839	41	0	0	0.3308	0.16	0	1	0.1764	0.1489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH1135202088	A3GVVT	21Shares Avalanche ETP	21Shares	ETN	3.1	1.97	18.05	0.5939	0.025			1.0215	Accumulating	USD		0.4404	-0.1737	-0.0571	11/18/21		-0.78			Physically backed	No	V21A	-0.7937		Switzerland		113520208				0.0502	-0.8938	XETRA	3/21/23	'(AVAX)', 'Cryptocurrencies'	Physical(Physically backed)			Currency unhedged		No			No	[]	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE000A3GWNN9	A3GWNN	ETC Group Physical Avalanche	ETC Group	ETN	3.67	1.98	17.8		0.0195				Accumulating	USD					3/22/22					Physically backed	No	EVAL			Germany		116602578						XETRA	2/24/23	'(AVAX)', 'Cryptocurrencies'	Physical(Physically backed)			Currency unhedged		No			No	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE000A3GV1T7	A3GV1T	VanEck Avalanche ETN	VanEck	ETN	1.73	1.09	9.79	0.6055	0.015			1.0468	Accumulating	USD		0.4463	-0.186	-0.0541	12/8/21		-0.74			Physically backed	No	VAVA	-0.7756		Liechtenstein		115281640				0.0542	-0.8956	XETRA	3/21/23	'(AVAX)', 'Cryptocurrencies'	Physical(Physically backed)			Currency unhedged		No			No	[]	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IE00082BU3V4	A3C567	Roundhill Ball Metaverse UCITS ETF	Roundhill	ETF	14.46	11.54	19.65	0.222	0.0059				Accumulating	USD		0.2035	-0.0021	0.0035	3/22/22					Full replication	No	METV			Ireland						0.0422		XETRA	3/21/23	'Metaverse', 'Equity', 'World', 'Metaverse'	Physical(Full replication)			Currency unhedged		Yes			No	[]	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IE00BFXR6159	A2N4PW	L&G Multi-Strategy Enhanced Commodities UCITS ETF	Legal & General (LGIM)	ETF	12.14	12.11	15.46	-0.062	0.003			0.2217	Accumulating	USD		-0.0532	-0.0487	-0.1466	6/25/21		-0.13			Swap based Unfunded	No	EN4C	-0.0289		Ireland		112547249				-0.0304	0.32	Last	3/21/23	'Capped', 'Commodities', 'market'	Synthetic(Unfunded swap)	Open-ended Investment Company (OEIC)		Currency unhedged	30-Jun	Yes	EY	Total return index	No	[]	0	0	0	0	0	0	0	0	0	"1,535"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BGSRBBE05183	A2JB7D	Expat Serbia BELEX15 UCITS ETF	expatcapital	ETF	0.92	0.86	0.99	0.0333	0.0138			0.1281	Accumulating	EUR		0.0449	0.0109	0.0449	2/5/18	0.0992	-0.32	0.0421	0.1	Full replication	No	ESNB	-0.0412	0.15	Bulgaria	0.0449			-0.0404		0	-0.0909	XETRA	3/21/23	'BELEX15', 'Equity', 'Serbia'	Physical(Full replication)			Currency unhedged	31-Dec	Yes	Ernst & Young	Price index	No	'NIS A.D. NOVI ORD', 'AERODROM NIKOLA ORD', 'METALAC GORNJI ORD'	0	0	0	0	0	0	0.4995	0	0	0	0	0	0	0	0	0	0	0.5005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BGROBET05176	A2JAHB	Expat Romania BET UCITS ETF	expatcapital	ETF	1.55	1.35	1.65	0.0403	0.0138	0.1779	0.5	0.1788	Accumulating	EUR		-0.019	-0.019	0.0403	12/21/17	0.169	0.11	0.2881	0.3409	Full replication	No	ROX	0.0197	1.18	Bulgaria	0.7222			0	0.5347	-0.0127	-0.0197	XETRA	3/21/23	'BET', 'Equity', 'Romania'	Physical(Full replication)			Currency unhedged	31-Dec	Yes	Ernst & Young	Price index	No	'FONDUL PROPRIETATEA ORD', 'BANCA TRANSILVAN ORD', 'PETROM ORD', 'S.N.G.N. ROMGAZ', 'BRD-GROUPE SG ORD', 'SN NUCLEARELECTRICA SA ORD SHS', 'TRANSGAZ MEDIAS ORD', 'MED LIFE SA ORD', 'DIGI COMMUNICATIONS NV ORD SHS', 'SOCIETATEA COMERCIALA DE DIS SI FUR'	0	0	0	0.0055	0	0	0	0	0.2917	2	0	0	0.2614	0	0	0	0.0901	0.3209	0	0.9945	0.0359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH0496454155	A22GRU	21Shares Binance BNB ETP	21Shares	ETN	22.38	14.76	30.44	0.3618	0.025			0.6225	Accumulating	USD		0.3218	0.0579	0.1488	10/15/19	0.9434	-0.23	13.8139		Physically backed	No	21XJ	-0.146	2	Switzerland	23.1613	49645415		1.4063		0.0834	-0.5178	XETRA	3/21/23	'(BNB)', 'Cryptocurrencies'	Physical(Physically backed)			Currency unhedged		No			No	[]	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH1199067674	A3GZ2Z	21Shares Bitcoin Core ETP	21Shares	ETN	6.21	3.7	6.21	0.6757	0.0021				Accumulating	USD		0.6316	0.1131	0.3508	6/29/22					Physically backed	No	21BC			Switzerland		119906767				0.1567		XETRA	3/21/23	'Bitcoin', 'Cryptocurrencies'	Physical(Physically backed)			Currency unhedged		No			No	[]	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH0454664001	A2T64E	21Shares Bitcoin ETP	21Shares	ETN	8.99	5.37	15.31	0.6704	0.0149			0.5824	Accumulating	USD		0.6309	0.1129	0.3448	2/26/19	0.6982	-0.55	0.8017		Physically backed	No	2BTC	-0.3189	0.85	Switzerland	3.0224	45466400		2.4979		0.1544	-0.6374	XETRA	3/21/23	'Bitcoin', 'Cryptocurrencies'	Physical(Physically backed)			Currency unhedged		No			No	[]	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB00BLD4ZL17	A3GPMN	CoinShares Physical Bitcoin	CoinShares	ETN	25.35	15.12	42.96	0.6713	0.0098			0.581	Accumulating	USD		0.6314	0.1045	0.3477	1/19/21		-0.54			Physically backed	No	BITC	-0.3157		Jersey		58943992				0.1539	-0.6399	XETRA	3/21/23	'Bitcoin', 'Cryptocurrencies'	Physical(Physically backed)	Limited Company		Currency unhedged		No	Baker Tilly Channel Islands Limited		No	[]	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE000A3GK2N1	A3GK2N	DDA Physical Bitcoin ETP	Deutsche Digital Assets	ETN	2.54	1.52	4.31	0.6711	0.0095			0.5841	Accumulating	USD		0.6282	0.1043	0.3511	4/15/21		-0.54			Physically backed	No	XBTI	-0.3154		Germany						0.1545	-0.6355	XETRA	3/21/23	'Bitcoin', 'Cryptocurrencies'	Physical(Physically backed)			Currency unhedged		No			No	[]	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE000A27Z304	A27Z30	ETC Group Physical Bitcoin	ETC Group	ETN	24.52	14.66	41.97	0.6678	0.02			0.5828	Accumulating	USD		0.6278	0.1083	0.3412	6/8/20		-0.55	0.8077		Physically backed	No	BTCE	-0.3225		Germany		55503260				0.1538	-0.6389	XETRA	3/21/23	'Bitcoin', 'Cryptocurrencies'	Physical(Physically backed)			Currency unhedged		No			No	[]	0	0	0	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB00BLBDZV05	A3GWV4	Global X Bitcoin ETP	Global X	ETN	25.76	15.35	43.52	0.6717	0.0065			0.5932	Accumulating	USD		0.6313	0.1123	0.3484	3/8/22		-0.53			Physically backed	No	BT0Y	-0.3143		Jersey						0.1527		XETRA	3/21/23	'Bitcoin', 'Cryptocurrencies'	Physical(Physically backed)			Currency unhedged		No			No	[]	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
